Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Glen Iris,73 Pascoe St,3,h,1700000,S,Jellis,2016-05-07,9.2,3146,3,2,2,625,188,1951,Boroondara City Council,-37.8602,145.0925,Southern Metropolitan,10412
Sunshine,80 Wright St,2,h,615000,SP,Barry,2017-08-12,10.5,3020,2,1,0,418,94,1940,Brimbank City Council,-37.79595,144.83206,Western Metropolitan,3755
Fairfield,20/262 Heidelberg Rd,2,u,602000,S,Jellis,2016-11-07,5.8,3078,2,1,1,0,77,2013,Darebin City Council,-37.7845,145.0105,Northern Metropolitan,2970
Abbotsford,31 Park St,3,h,1200000,S,Biggin,2018-02-17,3.0,3067,3,1,1,211,93,1970,Yarra City Council,-37.80864,144.99386,Northern Metropolitan,4019
Essendon,7/18 Raleigh St,2,u,457000,S,Barry,2016-08-22,8.0,3040,2,1,1,0,92,1970,Moonee Valley City Council,-37.7534,144.9242,Western Metropolitan,9264
Port Melbourne,903/107 Beach St,2,u,1100000,S,Biggin,2016-09-03,3.8,3207,2,2,1,0,92,1970,Melbourne City Council,-37.8405,144.9319,Southern Metropolitan,8648
Heathmont,11 Atunga Ct,4,h,1031000,S,Fletchers,2017-08-12,21.3,3135,4,2,0,1060,216,1970,Maroondah City Council,-37.82985,145.26176,Eastern Metropolitan,3794
Mount Waverley,1 Severn Ct,4,h,1359154,S,Buxton,2017-11-04,14.2,3149,4,2,2,773,28,1970,Monash City Council,-37.8636,145.1166,Eastern Metropolitan,13366
Kew,1/2 St Johns Pde,2,u,685000,PI,Noel,2017-12-09,5.4,3101,3,1,2,570,92,1970,Boroondara City Council,-37.80547473684211,145.0376147368421,Southern Metropolitan,10331
Truganina,1/46 Westmeadows La,3,u,1056532,PI,Barry,2017-11-04,18.4,3029,3,1,2,216,139,1970,Melton City Council,-37.85278,144.73541,Western Metropolitan,5811
Tullamarine,58 Tadstan Dr,4,h,735000,S,Jason,2017-10-14,12.9,3043,4,2,2,634,191,1981,Brimbank City Council,-37.69594,144.87857,Western Metropolitan,3296
Point Cook,84 Beachview Pde,4,h,690000,VB,hockingstuart,2017-07-15,14.7,3030,4,2,2,540,531,2012,Wyndham City Council,-37.90715,144.76527,Western Metropolitan,15542
Heidelberg,77 Buckingham Dr,3,h,1270000,S,Miles,2018-02-24,8.9,3084,3,2,2,668,139,1970,Banyule City Council,-37.74695,145.08365,Eastern Metropolitan,2890
Northcote,20/55 Gadd St,2,u,754000,SP,hockingstuart,2017-08-19,5.3,3070,2,2,2,478,90,2014,Darebin City Council,-37.7627,144.99039,Northern Metropolitan,11364
Keilor East,41 Patricia St,4,h,1250000,S,Nelson,2017-08-19,11.7,3033,4,2,2,534,211,1970,Brimbank City Council,-37.74514,144.87313,Western Metropolitan,5629
Diggers Rest,18 Eureka Rd,3,h,422000,S,YPA,2017-10-28,27.7,3427,3,1,2,584,139,1970,Hume City Council,-37.62005,144.71074,Western Metropolitan,1184
Port Melbourne,199 Ross St,3,h,1950000,S,Greg,2018-02-10,3.5,3207,3,1,2,247,122,1980,Melbourne City Council,-37.83398,144.93968,Southern Metropolitan,8648
Ashwood,17 Vannam Dr,4,h,1359154,SP,Fletchers,2016-11-27,12.2,3147,4,2,2,780,155,1950,Monash City Council,-37.8613,145.103,Southern Metropolitan,2894
Richmond,502/39 Bosisto St,1,u,437500,SP,Biggin,2017-03-04,2.6,3121,1,1,1,778,52,2013,Yarra City Council,-37.8177,144.9972,Northern Metropolitan,14949
Altona North,128 Second Av,3,h,870000,S,Hunter,2016-10-15,11.1,3025,3,1,2,1068,139,1970,Hobsons Bay City Council,-37.83794,144.84231,Western Metropolitan,5132
Prahran,9/305 Dandenong Rd,2,u,1020000,S,hockingstuart,2017-06-24,4.6,3181,2,1,1,0,102,1920,Stonnington City Council,-37.85931,145.00616,Southern Metropolitan,7717
Balwyn,18 Hilda St,3,h,2010000,S,Noel,2017-11-18,7.9,3103,3,1,2,889,139,1970,Boroondara City Council,-37.8043,145.0757,Southern Metropolitan,5682
Kingsbury,2/4 Bradshaw St,1,u,355000,SP,Ray,2017-10-28,12.1,3083,3,1,2,558,52,1970,Darebin City Council,-37.7144,145.03085,Northern Metropolitan,1414
Bentleigh,192 Tucker Rd,4,h,2151000,S,Buxton,2017-09-09,11.4,3204,4,3,2,811,216,1975,Glen Eira City Council,-37.91637,145.05177,Southern Metropolitan,6795
South Melbourne,7 Emerald Wy,3,h,1350000,VB,Cayzer,2016-10-15,2.1,3205,3,1,2,2402,139,1970,Port Phillip City Council,-37.837703999999995,144.95264200000003,Southern Metropolitan,5943
Bentleigh East,3 Greenview Ct,5,h,2055000,S,Buxton,2017-10-21,13.8,3165,5,5,2,675,395,2017,Glen Eira City Council,-37.93633,145.07342,Southern Metropolitan,10969
Glenroy,28 Tarana Av,3,h,780000,S,Brad,2017-09-16,11.2,3046,3,2,1,484,151,1960,Moreland City Council,-37.71139,144.9066,Northern Metropolitan,8870
Heidelberg Heights,27 Sackville St,2,h,763562,S,Nelson,2017-05-20,10.5,3081,2,2,2,251,93,2014,Banyule City Council,-37.7467,145.0479,Eastern Metropolitan,2947
Sunshine,2 Colin St,4,h,990000,S,FN,2017-04-08,12.6,3020,4,1,6,654,189,1950,Brimbank City Council,-37.7803,144.8415,Western Metropolitan,3755
South Yarra,34D Palermo St,4,h,1359154,S,Jellis,2016-12-10,3.3,3141,4,3,2,0,216,1970,Melbourne City Council,-37.8421,144.9978,Southern Metropolitan,14887
Roxburgh Park,18 Colchester Cct,3,h,580500,S,YPA,2017-09-09,20.6,3064,3,2,2,568,147,2003,Hume City Council,-37.61562,144.92606,Northern Metropolitan,5833
Carnegie,108/21 Belsize Av,2,u,763562,SN,Steller,2017-05-13,11.4,3163,3,1,2,251,92,1970,Glen Eira City Council,-37.893527272727276,145.05939818181818,Southern Metropolitan,7822
Glen Iris,14 Rosedale Rd,3,h,2000000,PI,Jellis,2016-06-18,9.2,3146,2,1,2,821,139,1970,Boroondara City Council,-37.8581,145.0685,Southern Metropolitan,10412
Ivanhoe,5/297 Upper Heidelberg Rd,2,u,515000,PI,Nelson,2017-10-21,7.8,3079,3,1,2,463,92,1970,Banyule City Council,-37.76399538461538,145.04064076923078,Eastern Metropolitan,5549
Fitzroy North,353 Rae St,2,h,1362500,S,Nelson,2018-02-24,3.6,3068,2,1,2,180,78,1900,Moreland City Council,-37.78401,144.97982,Northern Metropolitan,6244
Hawthorn East,4/78 Campbell Rd,3,t,1500000,VB,Kay,2016-06-04,7.5,3123,3,1,2,259,139,1970,Boroondara City Council,-37.82905000000001,145.04966266666668,Southern Metropolitan,6482
Beaumaris,6 Monaco Cr,3,h,1500000,S,Charlton,2017-07-29,17.3,3193,3,2,2,594,139,1970,Bayside City Council,-37.97383,145.04525,Southern Metropolitan,5366
Croydon,1/71 Kent Av,2,u,523500,S,Max,2017-12-09,23.0,3136,3,1,2,742,92,1970,Maroondah City Council,-37.79378333333333,145.27551000000003,Eastern Metropolitan,11925
Camberwell,7 Morey St,5,h,1869914,S,Marshall,2016-08-13,7.8,3124,5,3,2,578,286,1930,Boroondara City Council,-37.841,145.0936,Southern Metropolitan,8920
Langwarrin,4 Sasha Ct,4,h,635000,S,hockingstuart,2017-11-04,41.0,3910,4,2,2,869,216,1970,Frankston City Council,-38.1584,145.2064,Eastern Victoria,8743
Preston,6 Adams St,3,h,690000,S,RW,2017-04-29,8.8,3072,3,1,2,581,90,1960,Darebin City Council,-37.7536,145.0191,Northern Metropolitan,14577
Keysborough,17 Kotiko Rd,3,h,930000,S,Barry,2017-08-26,25.2,3173,3,2,2,443,201,2014,Greater Dandenong City Council,-38.00009,145.16959,South-Eastern Metropolitan,8459
Clayton South,4/11 Moore Av,3,t,1056532,PI,Ray,2017-11-18,17.5,3169,3,1,2,598,139,1970,Kingston City Council,-37.93371,145.11219,South-Eastern Metropolitan,4734
Oakleigh South,21 Hardy Ct,3,h,995000,S,Ray,2016-10-08,14.7,3167,3,1,1,530,139,1970,Kingston City Council,-37.9248,145.1067,South-Eastern Metropolitan,3692
Eltham,4 Onkara Ct,4,h,940000,S,Jellis,2017-10-21,18.0,3095,4,2,2,877,216,1970,Banyule City Council,-37.70893,145.17081,Eastern Metropolitan,6990
Mount Waverley,8 Susan Ct,4,h,1408000,S,Jellis,2017-09-23,14.2,3149,4,2,2,692,179,1970,Monash City Council,-37.86445,145.12538,Eastern Metropolitan,13366
Highett,33A Albert St,3,t,1330000,S,Branon,2017-12-09,16.0,3190,3,2,2,360,200,2016,Bayside City Council,-37.94953,145.03702,Southern Metropolitan,4794
Preston,68 Rene St,4,h,1359154,PI,Barry,2017-06-24,8.4,3072,4,2,1,530,113,1950,Darebin City Council,-37.73239,145.01999,Northern Metropolitan,14577
Brunswick West,16 Temple St,3,h,2350000,VB,Collins,2017-08-26,5.2,3055,3,2,2,445,160,1925,Moreland City Council,-37.76645,144.94133,Northern Metropolitan,7082
Clayton,3/22 Stockdale Av,4,t,800000,S,Ray,2018-02-24,16.7,3168,3,1,2,257,216,1970,Monash City Council,-37.911244999999994,145.12147,South-Eastern Metropolitan,5837
Balwyn North,12 Maud St,4,h,1755000,S,Jellis,2017-07-29,9.7,3104,4,2,2,605,155,1938,Boroondara City Council,-37.79466,145.06564,Southern Metropolitan,7809
Hoppers Crossing,10 Derrimut Rd,3,h,482500,S,Greg,2018-03-17,18.4,3029,3,1,6,624,112,1980,Wyndham City Council,-37.89091,144.68096,Western Metropolitan,13830
Carlton,78 Palmerston St,3,h,1056532,S,Jellis,2017-07-15,1.6,3053,3,2,0,109,102,1870,Melbourne City Council,-37.79628,144.97232,Northern Metropolitan,6786
Mont Albert,9 Hotham Ct,4,h,1359154,SP,Marshall,2016-08-13,11.8,3127,3,2,3,793,234,1940,Boroondara City Council,-37.8124,145.1088,Eastern Metropolitan,2079
Bentleigh,42 London St,3,h,1605000,S,Buxton,2018-03-03,11.4,3204,3,1,2,787,139,1970,Glen Eira City Council,-37.92459,145.04521,Southern Metropolitan,6795
Avondale Heights,41 Montpellier Dr,3,h,900000,S,Moonee,2017-10-21,9.5,3034,3,1,1,550,115,1975,Moonee Valley City Council,-37.75486,144.8655,Western Metropolitan,4502
Port Melbourne,172 Liardet St,3,h,1056532,PI,Frank,2016-10-15,3.8,3207,3,2,1,200,96,1860,Melbourne City Council,-37.8375,144.9408,Southern Metropolitan,8648
Elwood,15/5 Dickens St,1,u,413392,PN,Gary,2017-11-18,7.2,3184,3,1,2,399,52,1970,Port Phillip City Council,-37.8805525,144.98612812500002,Southern Metropolitan,8989
Niddrie,39 Cuthbert St,4,h,1350000,SP,Barry,2016-11-07,11.2,3042,4,3,2,747,242,1985,Moonee Valley City Council,-37.7387,144.8827,Western Metropolitan,2291
Preston,24 Dermot St,1,u,505000,SP,Woodards,2017-07-22,8.4,3072,1,1,1,102,43,2000,Darebin City Council,-37.74679,145.01394,Northern Metropolitan,14577
Highett,6 Frances St,3,h,1460000,S,Thomson,2017-08-26,16.0,3190,3,2,2,360,139,1970,Bayside City Council,-37.95322,145.02204,Southern Metropolitan,4794
Malvern,3/58 Cawkwell St,2,u,569000,S,Noel,2016-05-07,7.4,3144,2,1,2,0,92,1970,Stonnington City Council,-37.854,145.041,Southern Metropolitan,4675
Ripponlea,13/209 Hotham St,2,u,520000,S,hockingstuart,2016-05-28,7.4,3185,2,1,1,0,74,1971,Port Phillip City Council,-37.8788,144.9974,Southern Metropolitan,821
Bentleigh,31 Gilmour Rd,5,h,2478000,S,Jellis,2017-10-28,11.4,3204,5,3,2,697,697,2016,Glen Eira City Council,-37.93087,145.04172,Southern Metropolitan,6795
Keilor East,23 Olivine Rd,3,h,1450000,VB,Jellis,2017-10-07,11.7,3033,3,3,2,509,139,1970,Brimbank City Council,-37.73976,144.87868,Western Metropolitan,5629
Coburg North,3 Aperture St,3,h,815000,S,Ray,2016-06-18,9.2,3058,3,2,2,376,139,1970,Darebin City Council,-37.7295,144.982,Northern Metropolitan,3445
Hampton,1/237 Hampton St,1,u,500000,SP,Marshall,2016-09-24,13.7,3188,1,1,1,0,52,1970,Bayside City Council,-37.9414,145.0016,Southern Metropolitan,5454
Sunbury,10 Lalor Cr,3,h,540000,SP,Raine,2017-11-25,31.7,3429,3,1,2,893,139,1970,Hume City Council,-37.58157285714286,144.72161714285716,Western Metropolitan,14092
Tullamarine,1/119 Melrose Dr,4,h,586000,SP,Stockdale,2017-07-08,12.9,3043,4,1,3,0,158,1975,Brimbank City Council,-37.70695,144.88514,Western Metropolitan,3296
Glen Iris,1/25 Gardiner Pde,3,t,1501000,S,hockingstuart,2017-05-27,7.3,3146,3,2,2,313,160,1995,Boroondara City Council,-37.85385,145.06473,Southern Metropolitan,10412
Altona North,2/2 Cleghorn Av,3,t,750000,VB,hockingstuart,2017-07-15,9.4,3025,3,1,2,1068,139,1970,Hobsons Bay City Council,-37.83794,144.84231,Western Metropolitan,5132
Prahran,13/20 St Edmonds Rd,2,u,560000,S,Dingle,2017-03-18,4.5,3181,2,1,1,0,71,2000,Stonnington City Council,-37.8506,144.9919,Southern Metropolitan,7717
Camberwell,68 Glyndon Rd,4,h,1359154,SP,Marshall,2016-11-27,7.8,3124,4,4,2,390,266,1925,Boroondara City Council,-37.8404,145.0785,Southern Metropolitan,8920
Canterbury,34 Maysia St,5,h,2550000,PI,RT,2017-08-19,8.4,3126,5,2,4,692,335,1970,Boroondara City Council,-37.83254,145.07907,Southern Metropolitan,3265
Mount Waverley,26 Malcolm Ct,5,h,1600000,S,Jellis,2017-07-01,14.2,3149,5,3,3,728,335,1970,Monash City Council,-37.8778,145.11236,Eastern Metropolitan,13366
Balwyn North,141 Greythorn Rd,5,h,1500000,S,hockingstuart,2016-06-12,9.2,3104,3,1,1,800,335,1950,Boroondara City Council,-37.8023,145.0976,Southern Metropolitan,7809
Mulgrave,2 Bentley Ct,3,h,867000,PI,Harcourts,2018-01-06,18.8,3170,3,1,2,714,139,1970,Monash City Council,-37.92554,145.17268,South-Eastern Metropolitan,7113
Brighton East,26 Welwyn Av,4,h,2450000,PI,Marshall,2017-06-24,10.3,3187,3,1,2,478,216,1970,Bayside City Council,-37.918843333333335,145.01594,Southern Metropolitan,6938
Richmond,14 Parkville St,3,h,1270000,S,Jellis,2016-09-24,2.6,3121,3,1,2,953,139,1970,Yarra City Council,-37.82169944444444,145.00182,Northern Metropolitan,14949
Reservoir,31 Rathcown Rd,3,h,682000,SP,Barry,2016-06-12,11.2,3073,3,1,1,750,103,1970,Darebin City Council,-37.7107,145.0317,Northern Metropolitan,21650
Bentleigh East,123 MacKie Rd,3,h,1161000,S,hockingstuart,2016-09-24,13.9,3165,3,2,3,629,168,1950,Glen Eira City Council,-37.912,145.0752,Southern Metropolitan,10969
Hampton,125 Linacre Rd,4,h,2500000,PI,RT,2017-05-20,13.7,3188,4,3,2,684,317,2008,Bayside City Council,-37.9436,145.0169,Southern Metropolitan,5454
Rosanna,4/75 Ellesmere Pde,3,t,1056532,SP,Nelson,2017-10-07,8.9,3084,3,1,2,542,139,1970,Banyule City Council,-37.740225,145.06990499999998,Eastern Metropolitan,3540
Malvern East,15/92 Waverley Rd,1,u,355000,SP,hockingstuart,2018-02-10,8.4,3145,3,1,2,476,52,1970,Stonnington City Council,-37.87467857142858,145.0579107142857,Southern Metropolitan,8801
South Yarra,65 Moore St,3,h,1056532,S,Marshall,2017-09-16,2.7,3141,3,2,2,427,139,1970,Melbourne City Council,-37.84311,144.98925,Southern Metropolitan,14887
Reservoir,30 Godley St,4,h,895500,S,Barry,2016-11-12,11.2,3073,4,2,4,864,216,1970,Darebin City Council,-37.7034,144.9886,Northern Metropolitan,21650
Altona North,29 Cyclamen Av,2,h,763562,PI,Jas,2017-02-25,11.1,3025,3,1,2,1068,92,1970,Hobsons Bay City Council,-37.83794,144.84231,Western Metropolitan,5132
Avondale Heights,31b Riverside Av,3,h,760000,S,Nelson,2017-12-09,9.5,3034,3,1,2,628,139,1970,Moonee Valley City Council,-37.75832666666667,144.86263166666666,Western Metropolitan,4502
Heidelberg,3/5 Austral Ct,4,t,828000,S,Miles,2017-06-17,8.9,3084,4,2,2,264,140,2000,Banyule City Council,-37.74352,145.08082,Eastern Metropolitan,2890
Doncaster,1/62 Rathmullen Qd,4,t,900000,VB,Fletchers,2016-11-27,13.9,3108,3,1,2,491,216,1970,Manningham City Council,-37.78702,145.13044,Eastern Metropolitan,9028
Hawthorn East,1 Avenue Victoria,3,h,2040000,S,Nelson,2016-06-27,7.5,3123,3,1,2,783,139,1970,Boroondara City Council,-37.8234,145.0526,Southern Metropolitan,6482
Carnegie,2/13 Madden Av,3,u,1181000,S,Woodards,2017-06-03,10.1,3163,3,1,2,251,139,1970,Glen Eira City Council,-37.893527272727276,145.05939818181818,Southern Metropolitan,7822
Ormond,2/39 Queen St,2,h,936000,S,Woodards,2018-02-17,11.4,3204,3,1,2,362,92,1970,Glen Eira City Council,-37.90105,145.04497500000002,Southern Metropolitan,3578
Brunswick West,5/4 Cumming St,3,u,690000,S,hockingstuart,2017-11-18,5.2,3055,3,1,2,422,139,1970,Moreland City Council,-37.76524272727273,144.94337272727273,Northern Metropolitan,7082
Toorak,4 Monomeath Av,4,h,1359154,S,RT,2017-09-16,4.1,3142,4,2,2,767,216,1970,Stonnington City Council,-37.84063,145.03028,Southern Metropolitan,7217
Murrumbeena,1/1 Nangana Rd,2,u,602000,S,hockingstuart,2017-06-03,10.1,3163,2,1,1,1166,92,1970,Glen Eira City Council,-37.88674,145.07234,Southern Metropolitan,4442
Oakleigh South,107 Golf Rd,3,h,1067000,S,Woodards,2017-02-25,14.7,3167,3,1,2,648,122,1940,Kingston City Council,-37.9196,145.0876,South-Eastern Metropolitan,3692
Werribee,3 Princes Ct,3,h,600000,VB,Barry,2018-02-17,14.7,3030,3,2,2,1164,139,1970,Wyndham City Council,-37.89562,144.67284,Western Metropolitan,16166
Delahey,20 Darriwill Cl,4,h,1359154,SN,Calder,2017-10-28,18.0,3037,4,2,1,469,156,2000,Brimbank City Council,-37.7149,144.77217,Western Metropolitan,2898
Beaumaris,19 Bolton St,5,h,3778000,S,Buxton,2017-09-16,17.3,3193,5,4,4,1254,465,1980,Bayside City Council,-37.97775,145.02754,Southern Metropolitan,5366
Werribee,7 Broken Ct,3,h,470000,PI,Barry,2018-03-03,14.7,3030,3,1,1,533,100,1982,Wyndham City Council,-37.88596,144.65964,Western Metropolitan,16166
Strathmore,1/15 Esmale St,3,t,1056532,PI,Barry,2016-12-10,9.7,3041,3,1,2,578,139,1970,Moonee Valley City Council,-37.729797500000004,144.91340250000002,Western Metropolitan,3284
Mill Park,2 Honeysuckle Ct,3,h,592000,S,Ray,2018-02-03,17.9,3082,3,2,1,623,139,1970,Whittlesea City Council,-37.67003,145.0482,Northern Metropolitan,10529
Bulleen,17 Estelle St,3,h,1100000,S,Barry,2017-06-17,10.8,3105,3,1,1,711,139,1970,Manningham City Council,-37.77918,145.09049,Eastern Metropolitan,4480
Prahran,351 High St,2,t,763562,SP,Marshall,2017-12-09,4.6,3181,2,2,1,130,126,2009,Stonnington City Council,-37.85257,144.99991,Southern Metropolitan,7717
Balwyn,31 Winmalee Rd,4,h,2200000,VB,Fletchers,2017-12-09,7.9,3103,4,2,2,757,216,1970,Boroondara City Council,-37.80694,145.0866,Southern Metropolitan,5682
Glen Iris,13/11 Belmont Av,1,u,260000,PI,Woodards,2017-07-08,7.3,3146,1,1,1,0,38,1950,Boroondara City Council,-37.8574,145.04795,Southern Metropolitan,10412
North Melbourne,207/97 Flemington Rd,2,u,1605000,PI,hockingstuart,2018-03-17,1.8,3051,3,1,2,326,92,1970,Melbourne City Council,-37.79779,144.94708666666668,Northern Metropolitan,6821
Viewbank,82 Casey Cr,6,h,1210000,S,Miles,2016-08-22,13.8,3084,3,1,2,649,294,1970,Banyule City Council,-37.7390175,145.0894375,Eastern Metropolitan,2698
Eaglemont,1/16 Cape St,2,u,525000,S,Miles,2016-05-14,10.3,3084,2,1,1,79,70,1970,Banyule City Council,-37.7612,145.0663,Eastern Metropolitan,1651
Fawkner,2/79 Queens Pde,1,u,288000,S,Brad,2016-10-15,12.4,3060,1,1,1,69,52,1960,Hume City Council,-37.7192,144.9654,Northern Metropolitan,5070
Keysborough,28 Eildon Dr,3,h,745000,SP,Biggin,2017-07-29,25.2,3173,3,1,4,540,108,1980,Greater Dandenong City Council,-37.9884,145.15925,South-Eastern Metropolitan,8459
Bulleen,4/78 Manningham Rd,2,u,542500,S,Barry,2017-10-28,10.8,3105,3,1,2,686,92,1970,Manningham City Council,-37.76932090909091,145.09133272727274,Eastern Metropolitan,4480
Niddrie,3/12 Elstone Ct,3,t,676000,S,Nelson,2017-02-11,11.2,3042,3,1,2,572,139,1970,Moonee Valley City Council,-37.738012222222224,144.88377555555556,Western Metropolitan,2291
Essendon,4/6 Riverview Rd,2,u,606000,S,McDonald,2016-11-12,8.0,3040,2,1,2,0,93,1972,Moonee Valley City Council,-37.7598,144.9128,Western Metropolitan,9264
Hoppers Crossing,2 Euroa Pl,3,h,543000,SP,Barry,2017-11-11,18.4,3029,3,1,2,570,139,1970,Wyndham City Council,-37.8591,144.6812,Western Metropolitan,13830
Elwood,3/521 St Kilda St,2,u,715000,S,Chisholm,2017-07-29,7.2,3184,2,1,1,795,80,2005,Port Phillip City Council,-37.88351,144.99202,Southern Metropolitan,8989
Bulleen,73 Latrobe St,3,t,1056532,S,Barry,2017-10-07,10.8,3105,3,1,2,686,139,1970,Manningham City Council,-37.76932090909091,145.09133272727274,Eastern Metropolitan,4480
Abbotsford,36/659 Victoria St,2,u,763562,PI,Biggin,2017-09-23,3.0,3067,2,2,2,128,92,2004,Yarra City Council,-37.8114,145.01163,Northern Metropolitan,4019
Dandenong North,7 Fletcher Rd,3,h,595000,S,C21,2017-06-03,24.7,3175,3,1,1,530,128,1970,Greater Dandenong City Council,-37.96006,145.22094,South-Eastern Metropolitan,8322
Brunswick West,43 Hunter St,2,h,1051000,S,Nelson,2018-03-17,5.2,3055,2,1,1,233,92,1970,Moreland City Council,-37.7661,144.94621,Northern Metropolitan,7082
Clifton Hill,49 Fenwick St,3,h,1680000,S,Nelson,2016-11-19,3.4,3068,3,2,1,201,139,1970,Yarra City Council,-37.7884,145.0,Northern Metropolitan,2954
Keilor East,48 Fawkner Cr,3,h,780000,S,Brad,2016-04-16,12.8,3033,3,1,2,477,139,1970,Brimbank City Council,-37.742668,144.86498266666666,Western Metropolitan,5629
Oakleigh,805 Warrigal Rd,4,h,1160000,PI,Barry,2017-11-25,12.3,3166,4,3,2,578,232,1927,Monash City Council,-37.8915,145.0888,Southern Metropolitan,3224
Viewbank,11 Grantham Rd,4,h,940000,VB,Miles,2016-06-18,13.8,3084,4,3,2,574,216,1970,Banyule City Council,-37.7319,145.0907,Eastern Metropolitan,2698
New Gisborne,181 Station Rd,4,h,717500,SP,Raine,2017-11-18,48.1,3438,3,1,2,621,216,1970,Macedon Ranges Shire Council,-37.810891171521824,145.00222747452605,Northern Victoria,849
Ivanhoe,134 Ivanhoe Pde,4,h,1359154,S,Nelson,2017-07-01,7.8,3079,4,2,2,638,180,1955,Banyule City Council,-37.75773,145.04577,Eastern Metropolitan,5549
Gladstone Park,38 Beresford Cr,4,h,615000,SP,Barry,2017-05-27,12.9,3043,3,1,2,430,216,1970,Hume City Council,-37.6931325,144.8916925,Western Metropolitan,3285
Coburg,16 Tanderum Dr,3,t,730000,S,Barry,2017-10-07,6.7,3058,3,2,1,184,138,2007,Darebin City Council,-37.73748,144.97217,Northern Metropolitan,11204
Abbotsford,504/12 Trenerry Cr,1,u,420000,VB,Biggin,2018-02-10,3.0,3067,3,1,2,128,52,1970,Yarra City Council,-37.8058425,144.99722875,Northern Metropolitan,4019
Fairfield,181 Gillies St,3,h,1620000,S,Ray,2017-10-14,5.7,3078,3,2,2,604,139,1970,Darebin City Council,-37.77174,145.01836,Northern Metropolitan,2970
Brunswick,5 MacKenzie St,3,h,1222500,S,Nelson,2016-12-10,5.2,3056,3,1,0,331,126,1890,Moreland City Council,-37.7619,144.959,Northern Metropolitan,11918
Footscray,16 Nicholson St,6,h,1527000,S,Nelson,2018-01-06,5.1,3011,6,2,2,113,294,1970,Maribyrnong City Council,-37.79559,144.90008,Western Metropolitan,7570
Rosanna,1/73 Lower Plenty Rd,4,h,821000,SP,Nelson,2016-05-14,11.4,3084,3,1,2,403,148,1950,Banyule City Council,-37.7437,145.0633,Eastern Metropolitan,3540
Chadstone,73 Power Av,3,h,1056532,PI,Buxton,2016-08-28,13.6,3148,3,1,2,497,139,1970,Monash City Council,-37.88061666666667,145.10644,Southern Metropolitan,3582
Hawthorn East,5/305 Riversdale Rd,2,u,490000,S,Marshall,2016-11-07,7.5,3123,2,1,1,0,92,1970,Boroondara City Council,-37.8301,145.0475,Southern Metropolitan,6482
